City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,novyy urengoy,66.0833,76.6333,2.84,97,100,2.3,RU,1697304693
124,isangel,-19.55,169.2667,22.9,88,100,4.01,VU,1697304712
125,kyshtovka,56.555,76.6271,6.3,69,100,5.81,RU,1697304712
126,aasiaat,68.7098,-52.8699,-2.65,63,86,8.69,GL,1697304712
127,howard springs,-12.497,131.047,27.95,75,64,1.2,AU,1697304713
128,kone,-21.0595,164.8658,20.47,93,82,1.47,NC,1697304713
129,scunthorpe,53.579,-0.6544,9.88,80,67,4.02,GB,1697304713
130,kapa'a,22.0752,-159.319,23.94,91,75,1.54,US,1697304713
131,iquique,-20.2208,-70.1431,19.96,68,22,2.52,CL,1697304713
132,weno,7.4515,151.8468,28.97,84,100,3.6,FM,1697304714
133,plettenberg bay,-34.0527,23.3716,15.37,83,49,6.85,ZA,1697304714
134,herkimer,43.0256,-74.986,13.76,79,100,1.31,US,1697304714
135,raduzhny,62.0961,77.475,4.06,80,84,5.48,RU,1697304572
136,takai,11.5833,9.1167,30.67,21,11,3.22,NG,1697304715
137,bukama,-9.2,25.85,24.93,71,69,0.31,CD,1697304715
138,constitucion,-35.3333,-72.4167,16.09,60,4,6.19,CL,1697304715
139,pandan,14.0453,124.1694,26.79,83,53,3.48,PH,1697304715
140,birao,10.2849,22.7882,28.29,47,24,1.16,CF,1697304716
141,natchez,31.5604,-91.4032,19.12,48,0,4.63,US,1697304716
142,vinh,18.6667,105.6667,24.07,89,99,2.96,VN,1697304716
143,maragogi,-9.0122,-35.2225,27.7,67,84,5.49,BR,1697304519
144,ormara,25.2088,64.6357,27.26,81,0,6.09,PK,1697304716
145,flying fish cove,-10.4217,105.6791,24.82,94,100,3.6,CX,1697304717
146,adelaide,-34.9333,138.6,13.71,80,75,5.14,AU,1697304539
147,sao joao da barra,-21.6403,-41.0511,24.05,83,100,6.17,BR,1697304640
148,colac,-38.3333,143.5833,7.69,72,100,2.64,AU,1697304717
149,san andres,12.5847,-81.7006,33.01,70,20,3.09,CO,1697304539
150,mezhova,48.2532,36.7347,12.79,76,52,3.74,UA,1697304718
151,bosaso,11.2842,49.1816,28.58,77,16,2.5,SO,1697304718
152,hadibu,12.65,54.0333,27.33,78,49,2.86,YE,1697304718
153,vilyuchinsk,52.9306,158.4028,5.15,95,100,2.65,RU,1697304610
154,mersing,2.4312,103.8405,26.95,89,20,2.57,MY,1697304719
155,ribeira grande,38.5167,-28.7,22.22,78,20,3.58,PT,1697304719
156,alaghsas,17.0187,8.0168,34.94,12,34,9.77,NE,1697304719
157,hobyo,5.3505,48.5268,27.98,78,9,5.29,SO,1697304720
158,beykonak,36.3257,30.303,21.93,74,1,2.35,TR,1697304682
159,lerwick,60.1545,-1.1494,6.0,73,80,14.65,GB,1697304589
160,lihue,21.9789,-159.3672,23.53,92,75,1.54,US,1697304720
161,belmonte,-15.8631,-38.8828,27.54,67,16,4.34,BR,1697304721
162,st. john's,47.5649,-52.7093,13.87,98,100,5.66,CA,1697304462
163,martapura,-3.4167,114.85,26.05,100,100,1.03,ID,1697304721
164,sarangani,5.4033,125.4636,28.13,73,42,1.76,PH,1697304722
165,ebon,4.582,168.6964,28.8,73,88,3.35,MH,1697304722
166,peniche,39.3558,-9.3811,21.71,85,84,4.27,PT,1697304718
167,solleftea,63.1667,17.2667,4.92,96,92,4.8,SE,1697304722
168,nova sintra,14.8667,-24.7167,25.9,77,100,5.47,CV,1697304585
169,pacific grove,36.6177,-121.9166,17.53,81,75,1.79,US,1697304594
170,ponta delgada,37.7333,-25.6667,22.4,83,75,5.14,PT,1697304723
171,moundou,8.5667,16.0833,27.11,71,93,2.28,TD,1697304723
172,rongelap,11.1635,166.8941,28.12,76,90,3.09,MH,1697304723
173,narrabri,-30.3167,149.7833,13.68,53,0,3.08,AU,1697304724
174,igarka,67.4667,86.5833,1.17,98,100,6.5,RU,1697304724
175,longyearbyen,78.2186,15.6401,0.91,64,75,10.29,SJ,1697304724
176,pont rouge,48.8833,-72.0825,12.06,68,94,4.51,CA,1697304725
177,concepcion,-36.827,-73.0498,16.89,51,0,4.63,CL,1697304725
178,yuzhno-kurilsk,44.0306,145.8556,14.1,69,100,2.41,RU,1697304591
179,yarmouth,41.7057,-70.2286,17.2,68,0,3.09,US,1697304726
180,citra,29.4119,-82.1098,26.69,82,12,4.16,US,1697304726
181,tamaqua,40.7973,-75.9694,9.02,94,100,1.54,US,1697304726
182,elmali,36.7358,29.9177,13.84,77,64,0.95,TR,1697304727
183,midvagur,62.0511,-7.1939,2.46,64,100,11.32,FO,1697304727
184,wailua homesteads,22.0669,-159.378,23.19,92,75,1.54,US,1697304727
185,cocoa beach,28.32,-80.6076,29.05,71,0,5.66,US,1697304728
186,zeya,53.75,127.2667,5.27,92,100,1.87,RU,1697304728
187,naze,28.3667,129.4833,21.51,83,37,4.59,JP,1697304728
188,hauterive,46.0901,3.4459,15.42,61,52,1.59,FR,1697304728
189,gadzhiyevo,69.2551,33.3362,1.31,79,100,9.22,RU,1697304632
190,la libertad,-2.2333,-80.9,28.81,70,75,4.12,EC,1697304729
191,isafjordur,66.0755,-23.124,0.02,74,100,1.03,IS,1697304729
192,vorgashor,67.5833,63.95,-0.68,81,94,5.34,RU,1697304729
193,tezu,27.9167,96.1667,20.91,75,20,1.58,IN,1697304730
194,bardai,11.65,7.2333,28.24,29,82,2.65,NG,1697304730
195,thompson,55.7435,-97.8558,11.09,71,20,3.09,CA,1697304730
196,letterkenny,54.95,-7.7333,9.96,80,50,3.2,IE,1697304730
197,takikawa,43.5528,141.9064,10.87,86,98,0.88,JP,1697304731
198,tucumcari,35.1717,-103.725,10.52,53,0,2.57,US,1697304731
199,sitia,35.2,26.0986,22.21,68,4,2.48,GR,1697304731
200,auki,-8.7676,160.7034,24.83,91,70,1.61,SB,1697304731
201,fortaleza,-3.7227,-38.5247,30.07,66,20,8.75,BR,1697304732
202,atafu village,-8.5421,-172.5159,28.77,73,97,10.39,TK,1697304732
203,tabas,33.5959,56.9244,26.12,27,15,3.09,IR,1697304732
204,badger,64.8,-147.5333,-0.66,88,75,0.0,US,1697304732
205,moya,28.0906,-15.5883,25.93,43,44,2.11,ES,1697304733
206,samamiya,11.3487,9.6399,30.21,23,69,1.95,NG,1697304733
207,anadyr,64.75,177.4833,0.28,80,100,1.79,RU,1697304733
208,embi,48.8264,58.1442,10.66,59,97,4.64,KZ,1697304733
209,aljezur,37.3191,-8.8033,19.34,86,25,4.2,PT,1697304734
210,san clemente del tuyu,-36.3569,-56.7235,17.77,59,33,4.56,AR,1697304734
211,bogotol,56.2078,89.5342,4.51,66,86,5.53,RU,1697304734
212,juneau,58.3019,-134.4197,12.34,92,100,8.23,US,1697304734
213,aldinga beach,-35.2793,138.4604,13.9,80,96,4.06,AU,1697304735
214,am timan,11.0297,20.2827,29.41,42,19,0.88,TD,1697304735
215,obo,5.3998,26.4869,22.05,90,88,0.43,CF,1697304735
216,pathein,16.7833,94.7333,24.67,91,7,2.14,MM,1697304736
217,daru,-9.0763,143.2092,25.2,87,95,6.39,PG,1697304736
218,choma,-16.8065,26.9531,27.11,31,85,2.38,ZM,1697304736
219,berezovyy,51.6667,135.7,6.72,86,31,1.71,RU,1697304737
220,ende,-8.8432,121.6623,24.78,84,48,1.16,ID,1697304737
221,huarmey,-10.0681,-78.1522,22.45,73,49,4.98,PE,1697304737
